# 11-Oct-2017 07:41 AM
# seed 965745566761
##            1               2               3               4               5               6               7               8               9              10              11              12              13              14              15              16              17              18              19              20              21              22              23              24              25              26              27              28              29              30              31              32              33              34              35              36              37              38              39              40              41              42              43              44              45              46              47              48              49              50              51              52              53
            age,           tmin,           tmax,       totalrad,      directrad,     diffuserad,           wind,           rain,        netrain,     ambientCO2,            LAI,         pinnae,         rachis,          trunk,          roots,           male,         female,        bunches,      flowersex,            VDM,            TDM, assim_photosyn,    assim_maint,   assim_growth,      assim_gen,     VDM_growth,     TDM_growth,          yield,      trunk_hgt,      rootdepth,   rootzone_VWC,    waterstress,       actual_E,       actual_T,          pot_T,     layer1_VWC,  layer1_influx, layer1_outflux, layer1_netflux,       layer1_e,       layer1_t,     layer2_VWC,  layer2_influx, layer2_outflux, layer2_netflux,       layer2_e,       layer2_t,     layer3_VWC,  layer3_influx, layer3_outflux, layer3_netflux,       layer3_e,       layer3_t
            365,         23.000,         32.900,         21.037,         13.793,          7.244,          2.500,          0.000,          0.000,        350.040,          0.054,          0.402,          0.704,          0.101,          0.201,          0.000,          0.000,          0.000,          0.000,          1.408,          1.408,          0.020,          0.008,          0.012,          0.000,          0.007,          0.008,          0.000,          0.000,          0.201,          0.259,          0.580,          0.854,          0.086,          0.148,          0.230,         -0.889,         -0.159,         -0.730,          0.854,          0.035,          0.268,         -0.159,          1.262,         -1.421,          0.000,          0.053,          0.255,          1.262,          1.878,         -0.616,          0.000,          0.000
            366,         23.700,         37.500,         24.296,         18.459,          5.837,          2.000,         20.700,         20.639,        350.044,          0.055,          0.402,          0.704,          0.101,          0.201,          0.000,          0.000,          0.000,          0.000,          1.409,          1.409,          0.009,          0.007,          0.001,          0.000,          0.001,          0.001,          0.000,          0.000,          0.202,          0.303,          0.898,          1.257,          0.134,          0.149,          0.347,         19.338,         13.504,          5.834,          1.256,          0.044,          0.289,         13.504,          1.829,         11.675,          0.000,          0.068,          0.255,          1.829,          1.861,         -0.032,          0.000,          0.000
            367,         24.200,         39.700,         25.687,         20.457,          5.230,          1.800,          0.000,          0.000,        350.049,          0.055,          0.402,          0.705,          0.101,          0.202,          0.000,          0.000,          0.000,          0.000,          1.410,          1.410,          0.009,          0.008,          0.002,          0.000,          0.001,          0.001,          0.000,          0.000,          0.204,          0.276,          0.701,          3.462,          0.117,          0.166,          0.236,         -3.515,          2.017,         -5.532,          3.464,          0.051,          0.288,          2.017,          2.551,         -0.534,          0.000,          0.079,          0.256,          2.551,          1.878,          0.673,          0.000,          0.000
            368,         23.200,         40.400,         25.816,         20.653,          5.163,          1.800,          0.000,          0.000,        350.054,          0.055,          0.403,          0.705,          0.102,          0.202,          0.000,          0.000,          0.000,          0.000,          1.411,          1.411,          0.009,          0.007,          0.001,          0.000,          0.001,          0.001,          0.000,          0.000,          0.206,          0.269,          0.650,          1.613,          0.101,          0.155,          0.226,         -1.655,         -1.145,         -0.510,          1.614,          0.041,          0.282,         -1.145,          2.198,         -3.343,          0.000,          0.064,          0.256,          2.198,          1.897,          0.301,          0.000,          0.000
            369,         22.700,         34.200,         21.830,         14.971,          6.859,          1.900,          9.000,          8.973,        350.058,          0.055,          0.404,          0.707,          0.102,          0.203,          0.000,          0.000,          0.000,          0.000,          1.416,          1.416,          0.014,          0.007,          0.007,          0.000,          0.004,          0.005,          0.000,          0.000,          0.207,          0.293,          0.828,          0.867,          0.137,          0.166,          0.322,          8.058,          3.269,          4.789,          0.867,          0.049,          0.284,          3.269,          1.989,          1.280,          0.000,          0.077,          0.257,          1.989,          1.903,          0.087,          0.000,          0.000
            370,         22.500,         33.300,         21.119,         13.969,          7.150,          1.300,          0.000,          0.000,        350.063,          0.055,          0.406,          0.711,          0.103,          0.204,          0.000,          0.000,          0.000,          0.000,          1.423,          1.423,          0.019,          0.008,          0.011,          0.000,          0.006,          0.007,          0.000,          0.000,          0.209,          0.276,          0.704,          1.695,          0.128,          0.182,          0.251,         -1.749,          1.786,         -3.535,          1.696,          0.053,          0.284,          1.786,          2.168,         -0.381,          0.000,          0.084,          0.257,          2.168,          1.910,          0.258,          0.000,          0.000
            371,         22.900,         29.700,         18.401,         10.099,          8.301,          2.100,         14.400,         14.357,        350.068,          0.055,          0.409,          0.716,          0.105,          0.206,          0.000,          0.000,          0.000,          0.000,          1.436,          1.436,          0.027,          0.009,          0.018,          0.000,          0.011,          0.013,          0.000,          0.000,          0.210,          0.307,          0.927,          0.619,          0.137,          0.148,          0.345,         13.691,          9.014,          4.677,          0.619,          0.047,          0.296,          9.014,          2.410,          6.604,          0.000,          0.076,          0.257,          2.410,          1.921,          0.488,          0.000,          0.000
            372,         23.100,         31.300,         19.717,         11.994,          7.723,          1.400,         22.300,         22.233,        350.072,          0.056,          0.411,          0.722,          0.107,          0.208,          0.000,          0.000,          0.000,          0.000,          1.447,          1.447,          0.025,          0.009,          0.017,          0.000,          0.010,          0.011,          0.000,          0.000,          0.212,          0.334,          1.000,          1.636,          0.177,          0.177,          0.368,         20.531,         19.374,          1.156,          1.636,          0.067,          0.324,         19.374,          3.990,         15.384,          0.000,          0.109,          0.260,          3.990,          1.965,          2.026,          0.000,          0.000
            373,         22.600,         30.400,         18.858,         10.783,          8.075,          1.800,         12.500,         12.462,        350.077,          0.056,          0.415,          0.728,          0.109,          0.210,          0.000,          0.000,          0.000,          0.000,          1.461,          1.461,          0.029,          0.009,          0.020,          0.000,          0.012,          0.014,          0.000,          0.000,          0.214,          0.338,          1.000,          1.588,          0.168,          0.168,          0.353,         10.811,         11.538,         -0.727,          1.588,          0.064,          0.334,         11.538,          5.855,          5.683,          0.000,          0.105,          0.264,          5.855,          2.085,          3.770,          0.000,          0.000
            374,         23.800,         28.900,         17.885,          9.408,          8.477,          1.300,         17.300,         17.247,        350.081,          0.057,          0.418,          0.734,          0.110,          0.212,          0.000,          0.000,          0.000,          0.000,          1.475,          1.475,          0.029,          0.009,          0.021,          0.000,          0.012,          0.014,          0.000,          0.000,          0.216,          0.353,          1.000,          1.367,          0.166,          0.166,          0.371,         15.819,         14.941,          0.878,          1.367,          0.062,          0.348,         14.941,          7.108,          7.833,          0.000,          0.104,          0.269,          7.108,          2.265,          4.844,          0.000,          0.000
